procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0  55300 234740 218452 1793084    4   13   174   282  870   12 20  6 74  1  0
 2  0  55300 230728 218520 1793400    0    0     6   676 1876 3765 58 23 19  0  0
 4  0  55300 165220 218540 1795816    0    0     0   124 2166 4285 42 22 36  0  0
 2  0  55300 218508 218604 1793872    0    0     8  1582 2120 3741 26 18 55  1  0
 2  0  55300 226292 218656 1793684    0    0     0   526 1572 3184 25 19 56  0  0
 3  0  55300 219992 218688 1794032    0    0     0   106 2244 4497 23 21 57  0  0
 1  0  55300 243556 218744 1791892    0    0    28     2 2284 3150 12  7 81  0  0
 1  0  55300 237456 218760 1793388    0    0     0   132 2543 3169 11  3 86  0  0
 1  0  55300 239856 218824 1789064    0    0     0  1642 2348 3877 23  5 72  1  0
 1  1  55300 243988 218844 1789092    0    0     4   216 2126 4132 25  5 67  3  0
 1  0  55300 243736 218892 1789012    0    0     0   384 1474 1950  4  1 90  5  0
 1  0  55300 243736 218892 1788948    0    0     0     0  644  984  2  0 98  0  0
 1  0  55300 243736 218892 1789012    0    0     0    10  571  877  2  1 98  0  0
 1  0  55300 243036 218896 1789100    0    0     0    26 1290 2009 10  2 88  0  0
 1  0  55300 242532 218896 1788948    0    0     0     2  517  786  2  0 98  0  0
 6  0  55300 260820 218896 1788948    0    0     0     0  485  846  1  1 98  0  0
 1  0  55300 260952 218916 1788876    0    0     0  1924  618  946  1  1 97  1  0
 1  0  55300 260952 218916 1788888    0    0     0     0  568  847  2  1 98  0  0
 2  0  55300 260952 218916 1788888    0    0     0     0  491  782  1  1 98  0  0
 1  0  55300 260952 218924 1788884    0    0     0   120  497  805  1  1 98  0  0
 1  0  55300 260952 218924 1788888    0    0     0   194  547  818  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0  55300 227284 218932 1795800    0    0     0    50  949 2796  8  3 89  0  0
 2  0  55300 210972 218952 1797328    0    0   218     2  893 2316  5  2 92  0  0
 1  0  55300 210972 218960 1797328    0    0     0   100  504  861  1  0 98  0  0
 1  0  55300 210972 218960 1797328    0    0     0     0  504  811  1  1 98  0  0
 1  0  55300 210724 218960 1797328    0    0     0     0  531  797  1  1 98  0  0
 1  0  55300 210220 218972 1797328    0    0     0   226  548  863  1  0 98  0  0
 1  0  55300 209968 218980 1797328    0    0     0    96  485  796  1  0 98  0  0
 1  0  55300 209968 218980 1797328    0    0     0     0  488  870  2  0 98  0  0
 5  0  55300 178800 219004 1801180    0    0  1850    42 1623 5365 14  5 81  0  0
 1  0  55300 140804 219024 1811200    0    0     6   248 1834 7718 11  4 85  0  0
 5  0  55300 142568 219032 1805804    0    0     0    96 1044 4411  8  2 90  0  0
 1  0  55300 142568 219044 1805808    0    0     0    96  558  954  1  0 98  0  0
