procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    256 111180 121008 2296112    0    0  5610  1116 1626    8 12  5 82  1  0
 1  0    512 107660 120364 2305380    0    4     4 12092 6493 15904 16  6 75  3  0
 1  0    512 126416 118860 2296864    0    0     0   700 5866 15487  5  4 90  1  0
 2  0    512 120504 118924 2298988    0    0     0   696 5620 15017  5  5 90  1  0
 1  0    512 127888 118988 2291576    0    0     0   692 6189 16069  9  6 84  1  0
 1  0    512 121244 119012 2299508    0    0    12   696 6048 15592  6  4 89  1  0
 2  0    512 105312 119076 2309916    0    0     0   700 6236 15934 10  6 84  1  0
 5  1    768 107584 118876 2311944    0   36 14832   856 6001 15311  6  9 82  3  0
 6  1   2816 108524 118460 2240464    0 1964 13676 49180 9624 21659 52 37  3  7  0
 2  0   3328 145632 118860 2231832    0  428 12176  1664 8451 21276 42 32 24  3  0
 2  0   3328 138080 118892 2238988    0    0   204   376 4481 12659 16 22 40 22  0
 4  2   3328 105236 118976 2243072    0   92   516   900 7371 18423 38 29 32  2  0
 3  1   3584 151068 118996 2224396    0  368 12499  1252 2719 6378 43 32 15 10  0
 7  0   4352 112532 117972 2206832    0  640 66220 61560 1843 3562 34 26 30 10  0
 6  0   4352 122956 116844 2174992    0    0 29184  3108 1771 3219 37 26 34  3  0
 4  0   4608 137116 116816 2146104   48  276 15304 10648 1703 2441 74 24  1  1  0
 6  0   4608 118840 116952 2172604    0    0 17584  1276 1793 4555 39 21 37  3  0
 3  0   4608 117228 117008 2188988    0   16 17976   704 1395 3033 34 22 42  2  0
 5  0   4608 109300 116588 2131492    0   24 19380   944 2115 3243 76 21  2  0  0
 2  0   5888 175760 116732 2107968    0 1192  1684  4012 1917 4150 52 24 23  2  0
 2  2   5888 152660 116780 2132512    0    0 16436 37596  844 1173 23  4 68  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   6144 111924 116892 2129648    0  376 16552 54452 1411 1703 43  9 32 16  0
 2  0   6144 166860 117020 2129480    0    0 11160  1216 1497 2965 38  7 51  5  0
 2  0   6144 149100 117088 2147172    0    0  9472   732  796  882 25  0 73  3  0
 4  0   6400 151676 117176 2116292    0  400 13768  4108 1358 1458 50  7 41  3  0
 2  0   6400 164636 117332 2133392    0    0  8792  1836 1437 2521 38  3 55  5  0
 2  0   6400 131624 117396 2170952   16    0 20824   808  790  877 22  1 72  5  0
 4  0   7424 139872 117380 2123008    0 1080   820  2040 1274 1292 58  7 34  1  0
 2  0   7424 257504 117528 2131972    8    0  1043  3708 1736 3166 34  5 60  1  0
 3  0   7424 362048 117640 2026100   40    0    40  1244 1403 2109 26  2 72  0  0
